"Gene","Estimate","Std. Error","df","t value","Pr(>|t|)","score","padj"
"POS_A",0.0620762893072893,0.181101412087812,18.8762746065086,0.34277087401831,0.735558403113373,"blessed_score",0.999145803413394
"BCL6",0.0561225707623564,0.162284993389666,8.33148025633174,0.345827236333548,0.738043475674474,"blessed_score",0.999145803413394
"CD127",0.0737423377201482,0.218850200434942,24.3683503305068,0.336953484957259,0.739036844676985,"blessed_score",0.999145803413394
"FOXP3",-0.0645464809930692,0.203629625591023,24.965170662591,-0.316979814728465,0.753894535125954,"blessed_score",0.999145803413394
"NEG_D",-0.0506359322669874,0.164961211970461,8.88993997638046,-0.306956597021454,0.765944694365248,"blessed_score",0.999145803413394
"CTLA4",-0.0685433763870563,0.229433906263791,24.7873761191052,-0.298749986448161,0.767621109199898,"blessed_score",0.999145803413394
"GUSB",0.0514828250916127,0.186853293850861,10.7591944316774,0.275525381600735,0.788132252599188,"blessed_score",0.999145803413394
"TNFRSF18",-0.0534637732335577,0.201946794480368,20.9246896448088,-0.26474187605268,0.793798647599608,"blessed_score",0.999145803413394
"NEG_H",0.0400363814349821,0.17244225197136,19.7329835946275,0.232172689565847,0.818794767737147,"blessed_score",0.999145803413394
"CEACAM1",0.0389795680995372,0.18315141971016,17.5108511938112,0.212827004896948,0.833919868256453,"blessed_score",0.999145803413394
"NEG_E",0.0412860167767493,0.199466792127056,20.969167498078,0.206981905792373,0.838020724743814,"blessed_score",0.999145803413394
"IL.4",-0.039138459804957,0.189765573579545,22.572891790207,-0.20624636527421,0.838447397108066,"blessed_score",0.999145803413394
"KIR_Activating_Subgroup_2",0.0360535100778419,0.175703557693458,19.0959386917846,0.205195105615009,0.839591174615958,"blessed_score",0.999145803413394
"GATA3",0.0349012492767322,0.194007570885995,24.5435689654218,0.179896326299767,0.858710996396271,"blessed_score",0.999145803413394
"POS_F",-0.035859537046192,0.208627133251243,17.8852278982133,-0.171883381070129,0.865459107551797,"blessed_score",0.999145803413394
"PTPRC_2",0.0385871790737147,0.22768114701585,23.0600384482156,0.169479026170878,0.866897835251938,"blessed_score",0.999145803413394
"PTPRC_1",0.0261931162051709,0.194650942027783,24.5508255007237,0.13456454889097,0.894053285390545,"blessed_score",0.999145803413394
"CDKN2A..ARF.",0.023175042407235,0.187989730373265,21.92730824506,0.123278236322907,0.903009786255878,"blessed_score",0.999145803413394
"KIR_Inhibiting_Subgroup_1",0.0233126622415848,0.189378994537174,19.6411958346635,0.123100570359236,0.903278408374055,"blessed_score",0.999145803413394
"IL.17A",-0.0266292038374867,0.24051989230031,24.7482287099163,-0.110715182776806,0.912735194577054,"blessed_score",0.999145803413394
"TNFRSF14",0.017725817543975,0.184261254077908,24.99998675542,0.0961993753525653,0.92412924559972,"blessed_score",0.999145803413394
"CD3D",0.0163999949920888,0.184048896507074,16.2946523748262,0.0891067281756748,0.93008312275252,"blessed_score",0.999145803413394
