"microbe","Estimate","Std. Error","df","t value","Pr(>|t|)","aic","bic","r2.conditional","r2.marginal","icc","rmse","nobs","padj"
"CXCR3",-0.184362534275568,0.177527657626788,23.1651217280254,-1.0385003482846,0.30975616083521,98.7389053891003,105.399927939976,0.395494346731369,0.0818249259421874,0.341622670503285,0.634320368834296,28,0.977133978113962
"HAVCR2",0.184773130103212,0.180317617368073,16.2405483159268,1.02470924804893,0.320522228624667,98.8992916300893,105.560314180965,0.590386176863193,0.0549887765972196,0.566551366806125,0.459411861782692,28,0.977133978113962
"CD3E",-0.198491734766763,0.199161143441453,24.4426792352155,-0.996638859050901,0.328704653718924,98.6213590810016,105.282381631878,0.537949265604338,0.0647085101268271,0.505982103549005,0.50772525912797,28,0.977133978113962
"LAG3",-0.196300332371801,0.199480229145559,21.3506154918789,-0.98405908802402,0.336107369732591,98.5916915367648,105.252714087641,0.425048731289714,0.0788395599652004,0.375840251358857,0.610603408722915,28,0.977133978113962
"C10orf54",0.186523740821823,0.196070365778908,23.0386921005284,0.951310209887352,0.351321232007442,98.6832597677222,105.344282318598,0.480328326219708,0.068126656151967,0.442336582314519,0.558953172538919,28,0.977133978113962
"IL.10",0.169556315050353,0.184328640863469,22.9663945011021,0.919858760180098,0.367207892948573,98.8826891144391,105.543711665315,0.504755158598232,0.0643888009911035,0.470672388352783,0.537821151725075,28,0.977133978113962
"IL.21",0.224730639378744,0.253364154051419,24.9976685052688,0.886986717675682,0.383540525630863,98.3715082617782,105.032530812654,0.346652332927367,0.0733189394558643,0.294959512079598,0.676556050092901,28,0.977133978113962
"CD244",0.170574761342602,0.19342918352201,24.5409850226456,0.881846049477807,0.386416057617303,98.870090127598,105.531112678474,0.520537373521573,0.0673122134794444,0.485934485893624,0.525276983646954,28,0.977133978113962
"CDKN1B",-0.230436373331112,0.282396481674863,20.0987840948283,-0.816002989712968,0.424064316165922,98.1919440495069,104.852966600383,0.469706315012526,0.0648429079707172,0.432936252628164,0.566296262725319,28,0.999145803413394
"UBC",-0.138006655805188,0.172102846472202,18.1564814565243,-0.801884795249329,0.432990079921561,99.2769787353502,105.938001286226,0.537804920131203,0.0513296873976519,0.512796939327715,0.504429807852188,28,0.999145803413394
"IFNG",-0.144941023793885,0.19053478882545,24.6320132434268,-0.760706350201832,0.454053409349031,99.0808344700988,105.741857020975,0.492850408750777,0.0561473287309687,0.462681404961911,0.545304173063979,28,0.999145803413394
